ts,mode,provider,model,rules,order,num_tasks
2025-08-21T23:34:45.985475+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,4,3,2,1,8,5,7,6",9
2025-08-21T23:34:54.365355+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,2,1,4,3,8,7,6,5",9
2025-08-21T23:35:18.538743+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,8,7,6,5,4,3,1",8
2025-08-21T23:35:30.536601+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,1,4,3,8,7,6,5",8
2025-08-21T23:37:21.834597+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,1,4,3,8,7,6,5",8
2025-08-21T23:51:22.861623+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,1,4,3,8,7,6,5",8
2025-08-21T23:51:33.133063+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,4,1,3,5,7,8",7
2025-08-21T23:51:45.564060+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,4,3,1,8,7,6,5",8
2025-08-21T23:51:58.582367+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,8,7,5,4,3,1",7
2025-08-22T01:38:00.722561+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,1,8,7,6,5,4,3",8
2025-08-22T01:38:00.781063+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,8,1,7,6,5,4,3",8
2025-08-22T01:38:47.783535+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,1,8,4,3,5,7,6",8
2025-08-22T01:38:47.996688+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,1,4,3,8,5,7,6",8
2025-08-22T01:38:56.008950+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,1,8,7,6,5,4,3",8
2025-08-22T01:39:11.470342+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,1,8,7,6,5,4,3",8
2025-08-22T01:39:14.786473+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,4,1,3,5,6,7,8",8
2025-08-22T01:39:17.298113+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,8,1,7,6,5,4,3",8
2025-08-22T01:39:58.345624+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,8,1,7,5,4,3,6",8
2025-08-22T01:40:45.419795+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,8,1,6,5,4,3",7
2025-08-22T01:41:26.784969+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,8,1,6,5,4,3",7
2025-08-22T01:41:54.776832+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","9,10,3,1,5,8,6,4",8
2025-08-22T01:43:36.276506+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","4,3,1,5,8,10,6",7
2025-08-22T02:00:42.087896+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","4,3,1,10,8,5,6",7
2025-08-22T02:01:00.262073+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","4,3,1,10,8,6,5",7
2025-08-22T02:01:06.789704+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","4,3,1,5,8,10,6",7
2025-08-22T02:01:14.809786+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","3,1,10,4,6,5",6
2025-08-22T02:03:10.610841+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","3,1,10,4,6,5",6
2025-08-22T02:19:42.347257+00:00,ai,OpenRouter,meta-llama/llama-3.1-8b-instruct,"{""prefer_deadline"": true, ""prefer_high_priority"": true}","4,1,3,10,5,6",6
